eplenmean,explained_variance,clipfrac,time_elapsed,eprewmean,fps,approxkl,serial_timesteps,total_timesteps,value_loss,nupdates,policy_loss,policy_entropy
nan,0.9993262005154975,0.19700931,716.7634510993958,nan,2129,0.012690881,124928,1499136,0.00020051617,61,-0.034576803,32.73916
nan,0.9992890768917277,0.19570315,728.2084589004517,nan,2147,0.012539238,126976,1523712,0.00020437378,62,-0.034240473,32.68055
nan,0.9993606457719579,0.20388599,739.7104904651642,nan,2136,0.013017943,129024,1548288,0.00020604294,63,-0.035489686,32.631416
nan,0.9993418240337633,0.19432786,751.1799862384796,nan,2142,0.01242852,131072,1572864,0.0002017436,64,-0.03390991,32.580723
nan,0.9993908278993331,0.2012126,762.663027048111,nan,2140,0.012985162,133120,1597440,0.00019376099,65,-0.034832515,32.521175
nan,0.9993828066508286,0.20355633,774.2665495872498,nan,2118,0.012918639,135168,1622016,0.00019043483,66,-0.035461716,32.443855
nan,0.9993643702473491,0.19844158,786.3007688522339,nan,2042,0.012703324,137216,1646592,0.00018857578,67,-0.03399557,32.389507
nan,0.999295384157449,0.20159093,798.2541375160217,nan,2056,0.013010887,139264,1671168,0.0001929392,68,-0.034764737,32.31937
nan,0.9993134742835537,0.20835777,809.8828318119049,nan,2113,0.013290284,141312,1695744,0.00020688909,69,-0.0357887,32.24995
nan,0.9993192655965686,0.20602617,821.8932542800903,nan,2046,0.013141257,143360,1720320,0.00020124977,70,-0.036414195,32.187965
nan,0.9992824124055915,0.19711503,833.6474969387054,nan,2090,0.01275005,145408,1744896,0.00020662665,71,-0.033991706,32.138683
nan,0.9993699458427727,0.20815027,845.2388660907745,nan,2120,0.01337338,147456,1769472,0.0001983529,72,-0.03560795,32.09286
nan,0.9994252832257189,0.21274003,856.7234828472137,nan,2140,0.013751792,149504,1794048,0.00020343445,73,-0.036318928,32.028572
nan,0.9993906742311083,0.20701495,868.3322124481201,nan,2117,0.013361899,151552,1818624,0.00020448971,74,-0.036322463,31.980045
nan,0.9994228891446255,0.21228023,879.9564783573151,nan,2114,0.013698925,153600,1843200,0.00020364909,75,-0.035855807,31.903112
nan,0.999440522165969,0.22129714,891.4778318405151,nan,2133,0.014324429,155648,1867776,0.00019984825,76,-0.03633701,31.832205
