serial_timesteps,eplenmean,value_loss,total_timesteps,fps,time_elapsed,clipfrac,eprewmean,policy_entropy,approxkl,policy_loss,explained_variance,nupdates
120832,nan,0.00029883152,1449984,2185,656.1415143013,0.24344075,nan,20.373833,0.015917802,-0.033221297,0.9993783269892447,59
122880,nan,0.00027517328,1474560,2251,667.0588142871857,0.24639483,nan,19.943268,0.015921803,-0.03367317,0.9994379622512497,60
124928,nan,0.00026388836,1499136,2191,678.2761664390564,0.24259035,nan,19.52525,0.015643163,-0.03330841,0.9994141109636985,61
126976,nan,0.00025138824,1523712,2174,689.5803282260895,0.24570711,nan,19.09087,0.015898068,-0.032923862,0.9994017228018492,62
129024,nan,0.00023915875,1548288,2225,700.6227326393127,0.24283445,nan,18.665121,0.015820848,-0.032781962,0.999411097553093,63
131072,nan,0.00022202758,1572864,2183,711.8796186447144,0.2454305,nan,18.251354,0.015847696,-0.032591555,0.99945680500241,64
133120,nan,0.00020574263,1597440,2166,723.2267661094666,0.23558342,nan,17.831158,0.015240228,-0.030914709,0.9994612169102766,65
135168,nan,0.00019165984,1622016,2214,734.3230543136597,0.2482137,nan,17.398289,0.016187284,-0.032128483,0.9994808892370202,66
137216,nan,0.00018138194,1646592,2240,745.2941930294037,0.24598391,nan,16.984142,0.01600202,-0.03217268,0.9995134637574665,67
139264,nan,0.0001725811,1671168,2236,756.283251285553,0.2424804,nan,16.565578,0.015683314,-0.03153909,0.9995148397865705,68
141312,nan,0.00016357582,1695744,2215,767.3776609897614,0.24394934,nan,16.134861,0.015847962,-0.031560883,0.9995296288980171,69
143360,nan,0.0001524218,1720320,2227,778.4116368293762,0.2457194,nan,15.724978,0.01595874,-0.031364642,0.9995633674552664,70
145408,nan,0.00013960412,1744896,2231,789.4236843585968,0.2496582,nan,15.314204,0.016046567,-0.032064695,0.9995767263753805,71
147456,nan,0.00013709902,1769472,2218,800.501157283783,0.25133878,nan,14.895549,0.016187904,-0.03124997,0.9995608022727538,72
149504,nan,0.0001227008,1794048,2227,811.5371487140656,0.24700925,nan,14.4720125,0.015986983,-0.030914422,0.9996013804338872,73
151552,nan,0.00011276118,1818624,2211,822.652658700943,0.25695807,nan,14.05027,0.01667264,-0.031224865,0.9995984666747972,74
153600,nan,0.00010586241,1843200,2198,833.834065914154,0.25307208,nan,13.625936,0.016612101,-0.030957708,0.9996496162784752,75
155648,nan,0.00010378686,1867776,2209,844.9562294483185,0.2575154,nan,13.194794,0.016842572,-0.031064898,0.9996368923166301,76
157696,nan,9.85221e-05,1892352,2187,856.1899635791779,0.25281972,nan,12.776397,0.016406639,-0.030942425,0.9996474152430892,77
159744,nan,9.209058e-05,1916928,2248,867.1221580505371,0.25826818,nan,12.34356,0.016716944,-0.03121036,0.9996501502755564,78
161792,nan,8.367216e-05,1941504,2236,878.1118438243866,0.26445308,nan,11.920673,0.01738832,-0.032078605,0.9996897622768302,79
163840,nan,7.992454e-05,1966080,2242,889.0740926265717,0.26854655,nan,11.476414,0.017574854,-0.031960625,0.9996995127294213,80
165888,nan,7.5175965e-05,1990656,2177,900.3674635887146,0.2569784,nan,11.046129,0.016783694,-0.029895917,0.9996959920972586,81
167936,nan,7.0257476e-05,2015232,2197,911.55015873909,0.27204183,nan,10.596339,0.017944751,-0.032264628,0.9997201086371206,82
169984,nan,6.505585e-05,2039808,2239,922.5243585109711,0.26152346,nan,10.160254,0.01702854,-0.030358542,0.9997202513040975,83
172032,nan,6.501535e-05,2064384,2232,933.5359306335449,0.26366374,nan,9.730023,0.017281488,-0.029794794,0.9997237856441643,84
174080,nan,5.9550006e-05,2088960,2240,944.5058615207672,0.26489255,nan,9.300492,0.017358989,-0.03045642,0.9997305076103657,85
176128,nan,5.4964057e-05,2113536,2176,955.7994332313538,0.2747355,nan,8.863998,0.0181208,-0.031405658,0.9997695471247425,86
178176,nan,5.277097e-05,2138112,2213,966.9031953811646,0.27340078,nan,8.411158,0.018038107,-0.030407827,0.9997628113342216,87
180224,nan,4.9528422e-05,2162688,2208,978.0321626663208,0.27429202,nan,7.975116,0.018112656,-0.030176815,0.9997700405510841,88
182272,nan,4.726693e-05,2187264,2239,989.0086905956268,0.2743245,nan,7.5395455,0.018123865,-0.030608341,0.9997857190901414,89
184320,nan,4.52186e-05,2211840,2233,1000.0145745277405,0.28035071,nan,7.0915785,0.018797498,-0.030395996,0.9997927841177443,90
186368,nan,4.289489e-05,2236416,2227,1011.0507230758667,0.27679032,nan,6.6519346,0.018429551,-0.029960895,0.9997981493070256,91
188416,nan,3.9050577e-05,2260992,2215,1022.1462166309357,0.2826619,nan,6.206604,0.0187389,-0.030624453,0.9998080038058106,92
190464,nan,3.7299153e-05,2285568,2209,1033.2692847251892,0.2885254,nan,5.7413445,0.019287994,-0.03075991,0.9998334880365292,93
192512,nan,3.6049612e-05,2310144,2241,1044.2345097064972,0.28013915,nan,5.292183,0.018766597,-0.028795406,0.9998280166182667,94
194560,nan,3.2358384e-05,2334720,2212,1055.3426802158356,0.2845378,nan,4.8321815,0.018943815,-0.029164756,0.9998389456741279,95
196608,nan,3.1886495e-05,2359296,2250,1066.265733718872,0.28833008,nan,4.3768964,0.019309219,-0.029620582,0.9998435447487282,96
198656,nan,2.885066e-05,2383872,2280,1077.042955160141,0.28466403,nan,3.9180844,0.019079568,-0.028627792,0.9998454392334679,97
200704,nan,2.7452907e-05,2408448,2234,1088.0425271987915,0.28835046,nan,3.4527576,0.019261854,-0.028477091,0.9998490536527243,98
