serial_timesteps,time_elapsed,nupdates,policy_entropy,clipfrac,value_loss,policy_loss,explained_variance,approxkl,eprewmean,total_timesteps,eplenmean,fps
159744,898.967609167099,78,24.942032,0.22053227,0.15679285,-0.027578752,0.09476053714752197,0.014119421,nan,1916928,nan,2108
161792,910.3114523887634,79,24.748743,0.2125243,0.15356268,-0.027645743,0.09015727043151855,0.01375943,nan,1941504,nan,2166
163840,922.047779083252,80,24.550264,0.22513017,0.15446064,-0.028402368,0.08866274356842041,0.014465908,nan,1966080,nan,2094
165888,933.5707392692566,81,24.349552,0.22322993,0.14309122,-0.028198909,0.09788107872009277,0.014387904,nan,1990656,nan,2133
167936,945.0289971828461,82,24.139889,0.2250326,0.1621513,-0.028646544,0.09663724899291992,0.014582043,nan,2015232,nan,2145
169984,956.6057686805725,83,23.94902,0.23439947,0.14747313,-0.028927099,0.09922558069229126,0.015213664,nan,2039808,nan,2123
172032,968.3188843727112,84,23.75163,0.22320151,0.15771663,-0.028373465,0.0997089147567749,0.014384076,nan,2064384,nan,2098
174080,979.6101717948914,85,23.544937,0.23124194,0.15268347,-0.028633494,0.09773218631744385,0.015007521,nan,2088960,nan,2176
176128,991.2055280208588,86,23.369919,0.22784014,0.15135399,-0.028208759,0.0955362319946289,0.014584986,nan,2113536,nan,2119
178176,1002.6979303359985,87,23.177212,0.22616775,0.145484,-0.027257537,0.09927606582641602,0.014642079,nan,2138112,nan,2138
180224,1014.3293895721436,88,22.96896,0.22941896,0.14434037,-0.027537584,0.10748988389968872,0.014948122,nan,2162688,nan,2113
182272,1026.106642961502,89,22.779743,0.22422695,0.13960996,-0.026980992,0.09743785858154297,0.014496213,nan,2187264,nan,2086
184320,1037.872682094574,90,22.57645,0.22465828,0.15306649,-0.026690472,0.0981486439704895,0.014586644,nan,2211840,nan,2088
186368,1049.3479523658752,91,22.381407,0.24023032,0.1503739,-0.028810035,0.09938204288482666,0.015582917,nan,2236416,nan,2141
188416,1060.611294746399,92,22.163876,0.2357096,0.13426803,-0.028191576,0.10429877042770386,0.015288602,nan,2260992,nan,2182
190464,1072.2979521751404,93,21.958248,0.23623458,0.134931,-0.02768063,0.10427665710449219,0.015274631,nan,2285568,nan,2103
192512,1083.72847366333,94,21.742744,0.2432658,0.14411916,-0.028937548,0.1011919379234314,0.015954368,nan,2310144,nan,2150
194560,1095.428370475769,95,21.547474,0.24319653,0.13996013,-0.028136784,0.1025322675704956,0.015898801,nan,2334720,nan,2100
196608,1106.7054438591003,96,21.34976,0.2274414,0.14001426,-0.027019033,0.10639148950576782,0.014647132,nan,2359296,nan,2179
198656,1117.9423439502716,97,21.137869,0.23935139,0.1384453,-0.027171517,0.10760724544525146,0.015481834,nan,2383872,nan,2187
200704,1129.4054849147797,98,20.917,0.24268389,0.14078766,-0.026972894,0.0986672043800354,0.015788283,nan,2408448,nan,2144
202752,1140.7127695083618,99,20.706375,0.2370443,0.13362764,-0.026939273,0.11102014780044556,0.015482527,nan,2433024,nan,2173
204800,1152.1384205818176,100,20.496084,0.24678548,0.13673031,-0.028095046,0.10973405838012695,0.016214408,nan,2457600,nan,2151
206848,1163.3862962722778,101,20.292913,0.24236238,0.12651154,-0.027886614,0.11650997400283813,0.015629936,nan,2482176,nan,2185
208896,1175.0556766986847,102,20.077412,0.24827883,0.12530485,-0.027146216,0.10826808214187622,0.01618339,nan,2506752,nan,2106
210944,1186.5078482627869,103,19.87134,0.24748123,0.13224715,-0.026820203,0.10850733518600464,0.01630419,nan,2531328,nan,2146
212992,1198.2848036289215,104,19.672504,0.23210852,0.12467413,-0.025705492,0.11029279232025146,0.015072006,nan,2555904,nan,2086
215040,1209.6630189418793,105,19.473566,0.24857986,0.117108405,-0.026525069,0.11781853437423706,0.016235035,nan,2580480,nan,2160
217088,1221.0745964050293,106,19.274717,0.2482992,0.1228343,-0.02592584,0.11846411228179932,0.016192075,nan,2605056,nan,2153
219136,1232.4087278842926,107,19.043886,0.25659174,0.12741911,-0.02784502,0.11948525905609131,0.01687,nan,2629632,nan,2168
221184,1243.595745563507,108,18.832125,0.25368655,0.11781429,-0.0267169,0.11855709552764893,0.01670712,nan,2654208,nan,2197
223232,1255.0643894672394,109,18.618916,0.26029062,0.12695816,-0.027503941,0.11752897500991821,0.016984094,nan,2678784,nan,2143
225280,1266.6870286464691,110,18.422203,0.25288072,0.11717929,-0.026153093,0.12233364582061768,0.016534384,nan,2703360,nan,2114
227328,1277.9713232517242,111,18.2223,0.26191002,0.11433766,-0.02620855,0.1256149411201477,0.017136535,nan,2727936,nan,2178
229376,1289.455305814743,112,18.025482,0.26331374,0.12193699,-0.025884515,0.1290774941444397,0.01730116,nan,2752512,nan,2140
231424,1300.7310063838959,113,17.7998,0.2609741,0.11336458,-0.026501322,0.12604886293411255,0.017172165,nan,2777088,nan,2179
233472,1312.075012922287,114,17.603884,0.263619,0.11667669,-0.026578303,0.13277184963226318,0.01733842,nan,2801664,nan,2166
235520,1323.6685693264008,115,17.428585,0.25732008,0.10800642,-0.026127448,0.13208699226379395,0.016936358,nan,2826240,nan,2119
237568,1335.309722661972,116,17.236454,0.2714965,0.09722681,-0.025339758,0.12734860181808472,0.01793733,nan,2850816,nan,2111
239616,1346.8495268821716,117,17.03201,0.25961095,0.11224306,-0.025664315,0.13457846641540527,0.017104546,nan,2875392,nan,2129
241664,1358.2552020549774,118,16.8299,0.2602946,0.10270153,-0.024644881,0.14196008443832397,0.017157128,nan,2899968,nan,2154
243712,1369.4911901950836,119,16.616184,0.27003974,0.107778296,-0.026511336,0.1408643126487732,0.017826777,nan,2924544,nan,2187
245760,1380.8336725234985,120,16.412664,0.2696858,0.10057292,-0.02580165,0.13681870698928833,0.01781524,nan,2949120,nan,2167
247808,1392.5339658260345,121,16.178013,0.2721557,0.11455263,-0.026776303,0.13720881938934326,0.018209916,nan,2973696,nan,2101
249856,1403.907214164734,122,15.948465,0.27155355,0.1090791,-0.025353778,0.14470142126083374,0.018136939,nan,2998272,nan,2161
251904,1415.139981508255,123,15.744478,0.26667887,0.10687159,-0.024561454,0.14630764722824097,0.017806228,nan,3022848,nan,2188
253952,1426.3283603191376,124,15.50957,0.27198488,0.10208885,-0.02593949,0.14769333600997925,0.01813035,nan,3047424,nan,2196
256000,1437.6617727279663,125,15.304332,0.27337244,0.10165969,-0.024891218,0.15877825021743774,0.01817322,nan,3072000,nan,2168
258048,1449.273684501648,126,15.093569,0.26688242,0.10089211,-0.024016242,0.1531766653060913,0.01759925,nan,3096576,nan,2116
260096,1460.4728920459747,127,14.876399,0.26850173,0.102914035,-0.024916457,0.14958494901657104,0.017825732,nan,3121152,nan,2194
262144,1471.8862166404724,128,14.651342,0.28372407,0.09656814,-0.025008377,0.160100519657135,0.018888323,nan,3145728,nan,2153
264192,1483.1053040027618,129,14.43472,0.27682704,0.098876014,-0.02367314,0.16688573360443115,0.018342715,nan,3170304,nan,2190
266240,1494.4595329761505,130,14.200368,0.28640527,0.09750161,-0.025295267,0.164714515209198,0.01926085,nan,3194880,nan,2164
268288,1506.148547410965,131,13.975293,0.2823812,0.0943659,-0.024599254,0.17605209350585938,0.018724907,nan,3219456,nan,2102
270336,1517.7611877918243,132,13.75754,0.287203,0.092196405,-0.023781912,0.1708396077156067,0.019224036,nan,3244032,nan,2116
272384,1529.1316800117493,133,13.545796,0.2787922,0.092475295,-0.022975951,0.18447047472000122,0.018560318,nan,3268608,nan,2161
274432,1540.647969007492,134,13.335179,0.28975016,0.08729628,-0.023942215,0.18756985664367676,0.01968848,nan,3293184,nan,2134
276480,1552.0704164505005,135,13.139613,0.2869792,0.088932104,-0.024132371,0.18590807914733887,0.019408386,nan,3317760,nan,2151
278528,1563.554311990738,136,12.91497,0.28695488,0.09098489,-0.024023576,0.19316697120666504,0.019295799,nan,3342336,nan,2140
280576,1574.8669409751892,137,12.694928,0.28534338,0.08620935,-0.022488076,0.18949294090270996,0.019186337,nan,3366912,nan,2172
282624,1586.2439579963684,138,12.470725,0.29184568,0.09392458,-0.023690166,0.19465911388397217,0.019788098,nan,3391488,nan,2160
284672,1597.5970091819763,139,12.258645,0.288151,0.08581493,-0.023196276,0.19289517402648926,0.01949798,nan,3416064,nan,2164
286720,1609.2656245231628,140,12.051417,0.2998291,0.07701423,-0.022852777,0.2110918164253235,0.020252543,nan,3440640,nan,2106
288768,1620.7332453727722,141,11.835611,0.29289144,0.08697447,-0.022098575,0.20960396528244019,0.01989302,nan,3465216,nan,2143
290816,1632.0916430950165,142,11.635641,0.2866333,0.08206575,-0.021481786,0.2135981321334839,0.019305302,nan,3489792,nan,2163
292864,1643.5915009975433,143,11.437967,0.28970134,0.082414776,-0.022555873,0.21884053945541382,0.019648962,nan,3514368,nan,2137
294912,1654.8338301181793,144,11.219211,0.2899496,0.08064818,-0.022449305,0.22376370429992676,0.019451883,nan,3538944,nan,2186
296960,1666.355099439621,145,11.005279,0.29474276,0.07842632,-0.020835642,0.23349565267562866,0.019973535,nan,3563520,nan,2133
299008,1677.7803337574005,146,10.79431,0.29231772,0.08393815,-0.021504642,0.22579467296600342,0.019963728,nan,3588096,nan,2151
301056,1689.256843805313,147,10.590004,0.29613057,0.07796182,-0.021389244,0.23309993743896484,0.020248784,nan,3612672,nan,2141
303104,1700.5897817611694,148,10.385939,0.30197334,0.07581849,-0.021475768,0.2381410002708435,0.020600498,nan,3637248,nan,2168
305152,1711.8968925476074,149,10.150846,0.3077311,0.08355828,-0.021393638,0.2301884889602661,0.021134317,nan,3661824,nan,2173
307200,1723.2938857078552,150,9.941254,0.30803216,0.09102692,-0.021650337,0.23518872261047363,0.021370938,nan,3686400,nan,2156
309248,1734.6101937294006,151,9.725592,0.30457345,0.0930268,-0.02028826,0.24032145738601685,0.020840023,nan,3710976,nan,2171
311296,1745.984504699707,152,9.49201,0.3091674,0.07306357,-0.02104301,0.2514427900314331,0.021248722,nan,3735552,nan,2161
313344,1757.5422823429108,153,9.274292,0.3088582,0.076590106,-0.019165386,0.2602652907371521,0.021350738,nan,3760128,nan,2126
315392,1768.9927847385406,154,9.069031,0.30932608,0.07767378,-0.020997176,0.27212560176849365,0.02117786,nan,3784704,nan,2146
317440,1780.5662279129028,155,8.856439,0.30498856,0.07635546,-0.019335344,0.26569825410842896,0.02105226,nan,3809280,nan,2123
319488,1792.3371398448944,156,8.633774,0.30765387,0.06791262,-0.019273961,0.28809690475463867,0.021143664,nan,3833856,nan,2088
321536,1803.7455933094025,157,8.426381,0.30817458,0.06293858,-0.020517185,0.3047104477882385,0.021386694,nan,3858432,nan,2154
323584,1815.0003111362457,158,8.20572,0.31278074,0.06412282,-0.017788779,0.3003125786781311,0.021620985,nan,3883008,nan,2183
325632,1826.2550752162933,159,7.952117,0.31561702,0.06403766,-0.019152429,0.29535186290740967,0.021918805,nan,3907584,nan,2183
327680,1837.5413751602173,160,7.699403,0.3166747,0.05712425,-0.019248096,0.3179119825363159,0.02204421,nan,3932160,nan,2177
329728,1848.8660480976105,161,7.4601045,0.3110759,0.06474371,-0.018658768,0.30846887826919556,0.021500032,nan,3956736,nan,2171
331776,1860.3123106956482,162,7.2104807,0.32289222,0.05753044,-0.01907565,0.33160072565078735,0.02268025,nan,3981312,nan,2147
333824,1871.7131643295288,163,6.985115,0.31378582,0.05694164,-0.018114928,0.33973008394241333,0.021848267,nan,4005888,nan,2155
335872,1883.2288596630096,164,6.761588,0.31868494,0.055979263,-0.01826321,0.3436167240142822,0.02219526,nan,4030464,nan,2134
337920,1894.8245525360107,165,6.553178,0.321228,0.054842036,-0.017360916,0.34847885370254517,0.022417184,nan,4055040,nan,2119
339968,1906.2994937896729,166,6.337724,0.33375642,0.06702172,-0.015966138,0.32680797576904297,0.02370636,nan,4079616,nan,2141
342016,1918.02232503891,167,6.1608477,0.39817706,0.42022818,-0.012275742,0.1267603039741516,0.032006074,-6946.137377,4104192,341817.0,2096
344064,1930.261658668518,168,6.060603,0.29556876,2.0961118,-0.009847352,0.16602975130081177,0.020232424,-5891.365299769231,4128768,290337.53846153844,2008
346112,1941.5947110652924,169,5.9467225,0.31445304,0.8177495,-0.010656206,0.19957977533340454,0.021923527,-4177.319849099999,4153344,206725.45,2168
348160,1953.2020571231842,170,5.85277,0.29867342,1.0449784,-0.011034187,0.2196582555770874,0.02061624,-2783.4716237333328,4177920,138724.16666666666,2117
350208,1964.7405786514282,171,5.744771,0.30573332,0.95391667,-0.010909845,0.2423802614212036,0.020949412,-2033.8141142439024,4202496,102152.43902439025,2130
352256,1976.3900055885315,172,5.675563,0.29272857,1.0670006,-0.010667052,0.2655099630355835,0.020010306,-1483.842821982143,4227072,75314.625,2109
354304,1987.6903641223907,173,5.588745,0.30339354,0.80620766,-0.011865543,0.29043102264404297,0.020761464,-1181.5115464142857,4251648,60560.62857142857,2175
356352,1998.972955942154,174,5.524939,0.28568098,0.8778963,-0.010829352,0.31704777479171753,0.019254806,-922.930711741573,4276224,47940.629213483146,2178
358400,2010.2795753479004,175,5.470906,0.28050125,0.73571527,-0.010973606,0.34285271167755127,0.018873096,-398.94470689,4300800,22372.04,2173
360448,2021.639543056488,176,5.409919,0.28093675,0.7275358,-0.010371829,0.37209051847457886,0.018833745,26.34045568,4325376,1614.94,2163
362496,2032.9217653274536,177,5.347734,0.29883635,0.5388568,-0.010405296,0.4029198884963989,0.020349,30.169941320000003,4349952,1420.99,2178
364544,2044.3999745845795,178,5.317031,0.28885505,0.52908194,-0.008917498,0.42651987075805664,0.019518798,31.96278405,4374528,1329.08,2141
366592,2055.6977772712708,179,5.2701683,0.28461915,0.47476858,-0.010332493,0.44078290462493896,0.019047568,33.19519673,4399104,1263.32,2175
368640,2067.392664670944,180,5.207843,0.28831774,0.43617734,-0.01063351,0.44894570112228394,0.019677097,34.4686753,4423680,1197.57,2101
370688,2078.91983127594,181,5.1628046,0.28007,0.3704632,-0.010690083,0.4714757204055786,0.018816115,34.94396276,4448256,1169.51,2133
372736,2090.4653611183167,182,5.112765,0.28667814,0.33747798,-0.010478804,0.4841200113296509,0.019327778,35.55627304000001,4472832,1138.82,2128
374784,2101.900205373764,183,5.0706987,0.28139246,0.30067864,-0.00983253,0.491999089717865,0.018965546,36.05623298,4497408,1112.4,2149
376832,2113.525304079056,184,5.028849,0.29259434,0.26665336,-0.011365108,0.5107097625732422,0.019862171,36.48374287000001,4521984,1090.09,2114
378880,2125.0724737644196,185,4.9534693,0.29681394,0.22493875,-0.010350992,0.5145571827888489,0.020166228,36.65570601,4546560,1081.15,2128
380928,2136.6557462215424,186,4.8793945,0.2910848,0.21010654,-0.011036716,0.5337885618209839,0.01966176,36.93276711000001,4571136,1068.9,2121
382976,2148.3100600242615,187,4.81953,0.29211432,0.18041049,-0.009484663,0.5447916090488434,0.019676538,36.953672850000004,4595712,1067.09,2108
385024,2160.014177799225,188,4.7429385,0.290279,0.15733747,-0.011649887,0.5610121488571167,0.01958932,37.13439842,4620288,1059.33,2099
387072,2171.770212650299,189,4.695775,0.29178873,0.14255896,-0.011013879,0.5690427422523499,0.019714016,37.396044520000004,4644864,1047.34,2090
389120,2183.580287218094,190,4.6230564,0.2947307,0.12592736,-0.010298172,0.5903799533843994,0.020020414,37.68506606,4669440,1033.72,2081
391168,2195.2042033672333,191,4.5850616,0.30303973,0.10985676,-0.011124056,0.6131735444068909,0.020730233,37.65597213,4694016,1035.44,2114
393216,2206.4699907302856,192,4.5326905,0.30269778,0.09572866,-0.010782695,0.6345340013504028,0.020844884,37.8574153,4718592,1025.81,2181
395264,2217.9386744499207,193,4.5020323,0.29753017,0.08535537,-0.010876173,0.6506872177124023,0.02031533,38.07183751,4743168,1013.24,2143
397312,2229.5373277664185,194,4.444977,0.29998785,0.07570873,-0.010542419,0.6743880212306976,0.020504892,38.356205460000005,4767744,998.93,2119
399360,2240.951577425003,195,4.3759475,0.2922242,0.07123166,-0.010268893,0.6990863382816315,0.019863004,38.84491065,4792320,973.97,2153
401408,2252.588176727295,196,4.322631,0.30272216,0.06355862,-0.009815902,0.7256959974765778,0.020737331,39.22122019,4816896,953.74,2112
403456,2264.0295066833496,197,4.2693396,0.30452472,0.05894925,-0.009460532,0.755145713686943,0.021008622,39.4551033,4841472,943.38,2148
405504,2275.412619113922,198,4.224267,0.30173334,0.05595175,-0.011052671,0.7798681855201721,0.020832343,39.67727301,4866048,931.13,2159
407552,2287.0514912605286,199,4.179581,0.30541596,0.05244548,-0.009684715,0.8036496043205261,0.021089884,39.793668419999996,4890624,923.65,2112
409600,2298.868682384491,200,4.1124277,0.3130411,0.05412001,-0.010129463,0.8278950452804565,0.021714095,40.01976545,4915200,910.68,2079
411648,2310.3675680160522,201,4.045449,0.30131432,0.05484153,-0.009431635,0.8371494263410568,0.020670889,40.12906568,4939776,905.31,2138
413696,2322.09086561203,202,3.9861515,0.30683613,0.05265175,-0.010774639,0.8496817052364349,0.021163361,40.43231159,4964352,888.6,2096
415744,2333.4909348487854,203,3.907035,0.3154295,0.056361757,-0.008976734,0.8659192025661469,0.022380028,40.66416231,4988928,877.87,2156
417792,2345.097146987915,204,3.8263688,0.3121012,0.05569183,-0.008779403,0.8619548976421356,0.021772617,40.876446140000006,5013504,868.65,2117
419840,2356.462313890457,205,3.781032,0.32130125,0.05586966,-0.009419781,0.8770144730806351,0.022613239,41.02479477000001,5038080,861.72,2162
421888,2367.9947488307953,206,3.7202995,0.31920567,0.057874817,-0.009577818,0.8810990229249,0.022241626,41.1734416,5062656,855.63,2131
